Ulica,Nr,Obiekt,Nr_rej_zabytków
Grodzisko/ 3 MAJA, Dąbrowskiego,14,Umocnienia Grodziska wraz z elementami strukturalnymi (majdan fortu Grodzisko, Bastion Jerozolimski, Wysokie Czolo Kurkowe, Wysokie Skrzydło Kurkowe,. Niskie Czolo Kurkowe, Luneta Senarmomta, Zbrojownia,474
Grodzisko, Strzelecka/ Nowe Ogrody/ Dąbrowskiego/ Powstańców Warszawskich,,Umocnienia Doliny Nowych Ogrodów, zespół pn. z elementami strukturalnymi i obiektami: Bastion Neubauera, dom wałmistrza, poterna prawego barku niskiego, kurtyna Bastionu Neubauera, poterna do fosy,471
Grodzisko, m. Stawki, Przybój, Górka, Pohulanka,,Umocnienia Doliny Nowych Ogrodów, zespół pd. wraz z elementami strukturalnymi i obiektami: Zakos Strakowskiego Pd., Zakos Piaskowy Pn.,472
3 Maja ,,Reduta Napoleońska (Reduta, fosa reduty. Przeciwskarpa fosy, z galerią strzelecką, przejscie pod fosą, kryty korytarz, Brama Pn. Fortu grodzisko z wartownią),473
3 MAJA,09,kamienica,
3 MAJA,09 A,kamienica,
3 MAJA,09 B,kamienica,
3 MAJA,09 C,kamienica,
3 MAJA,16 k.,dom,
3 MAJA,19 A/21/21 ABCD,zespół szpitala Bożego Ciała (kościół, plebania, szpital, 4 domy mieszkalne) ,65
3 MAJA,19 A/21/21 ABCD,cmentarz,65
3 MAJA,24,kamienica,
3 MAJA,25,kamienica,
3 MAJA,25 A,kamienica,
ABRAHAMA Antoniego,18,dom,
ABRAHAMA Antoniego,19,dom,
ABRAHAMA Antoniego,20,dom,
ABRAHAMA Antoniego,26 A,dom,
ABRAHAMA Antoniego,27,dom,
ABRAHAMA Antoniego,28,dom,
ABRAHAMA Antoniego,33,dom,
ABRAHAMA Antoniego,34,dom,
AGRARNA,2,zespół dworsko-parkowy Matarnia (dwór, park, chlewnia, obora),1053
AKSAMITNA,4 A,kamienica,
AKSAMITNA,9 A,kamienica,
AKWENOWA ,02,dom,
AKWENOWA ,02,budynek gospodarczy,
ALDONY,2,kamienica,
ALDONY,01/1A,kamienica,
ALDONY,2 A,kamienica,
ALDONY,3,kamienica,
ALDONY,4,kamienica,
ALDONY,5,kamienica,
ALDONY,6,kamienica,
ALDONY,7,kamienica,
ALDONY,8,kamienica,
ALDONY,9,kamienica,
ALDONY,10,kamienica,
ALDONY,11,kamienica,
ALDONY,12,kamienica,
ALDONY,13,kamienica,
ALDONY,15/16,kamienica,
ALEJA HALLERA gen. Józefa ,1C,dom,
ALEJA HALLERA gen. Józefa,02 A,dom,
ALEJA HALLERA gen. Józefa,02 B,dom,
ALEJA HALLERA gen. Józefa,04,dom,
ALEJA HALLERA gen. Józefa,04 A,dom,
ALEJA HALLERA gen. Józefa,05,dom,
ALEJA HALLERA gen. Józefa,06,dom,
ALEJA HALLERA gen. Józefa,07,dom,
ALEJA HALLERA gen. Józefa ,9,dom,
ALEJA HALLERA gen. Józefa ,10/12,kamienica,
ALEJA HALLERA gen. Józefa,11,dom,
ALEJA HALLERA gen. Józefa,13,dom,
